freq (MHz);s11 (dB);real Z_in;imag Z_in;Z_in total
1152.0;-0.015346407082036814;61.12972588208294;-1858.396843607903;1859.4019661488574
1154.0;-0.015316266499331543;60.774242092786565;-1854.812978023989;1855.8083661704327
1156.0;-0.015288675803972269;60.431068966653186;-1851.2417360661043;1852.2278152132087
1158.0;-0.015263591371571298;60.09990882641921;-1847.6831780303235;1848.6603596705315
1160.0;-0.015240970438346463;59.78047095614826;-1844.137358029962;1845.1060403102763
1162.0;-0.015220771081648642;59.47247144377317;-1840.604324290802;1841.5648925459102
1164.0;-0.015202952200866131;59.175633026037325;-1837.0841194329098;1838.0369466952022
1166.0;-0.015187473498683471;58.889684935912356;-1833.5767807396476;1834.5222282271263
1168.0;-0.015174295462774648;58.614362752604265;-1830.082340414485;1831.020757997531
1170.0;-0.01516337934782606;58.349408254132776;-1826.6008258261509;1827.5325524740686
1172.0;-0.01515468715799148;58.09456927259518;-1823.1322597427086;1824.057623950933
1174.0;-0.015148181629687908;57.84959955208917;-1819.6766605550167;1820.5959807538286
1176.0;-0.01514382621477376;57.61425860934941;-1816.2340424900867;1817.1476274356432
1178.0;-0.015141585064122576;57.388311597127206;-1812.8044158148025;1813.7125649632624
1180.0;-0.015141423011514905;57.171529170258225;-1809.387787030445;1810.2907908959257
1182.0;-0.015143305557938875;56.96368735449364;-1805.9841590584228;1806.882299555502
1184.0;-0.015147198856206644;56.764567418044265;-1802.5935314176525;1803.487082189091
1186.0;-0.015153069695937653;56.57395574583108;-1799.215900393916;1800.1051271242525
1188.0;-0.015160885488905724;56.39164371644532;-1795.851259201624;1796.7364199172625
1190.0;-0.01517061425468215;56.21742758176488;-1792.4995981382717;1793.3809434946543
1192.0;-0.015182224606634565;56.05110834926189;-1789.160904731968;1790.0386782884038
1194.0;-0.015195685738267909;55.89249166689458;-1785.8351638823183;1786.709602365007
1196.0;-0.015210967409852326;55.74138771063043;-1782.5223579949698;1783.3936915487434
1198.0;-0.015228039935390928;55.59761107451109;-1779.2224671101594;1780.0909195394358
1200.0;-0.015246874169877158;55.46098066325734;-1775.9354690254218;1776.801258024846
1202.0;-0.015267441496875363;55.33131958736824;-1772.661339412842;1773.524676788065
1204.0;-0.015289713816374291;55.20845506067777;-1769.4000519310305;1770.2611438100653
1206.0;-0.015313663532940433;55.092218300303145;-1766.1515783320835;1767.0106253676456
1208.0;-0.015339263544156587;54.98244442901916;-1762.9158885637105;1763.7730861269447
1210.0;-0.015366487229335958;54.878972379902066;-1759.692950866837;1760.5484892328045
1212.0;-0.01539530843849907;54.781644803310115;-1756.482731868799;1757.3367963940875
1214.0;-0.015425701481627913;54.6903079760948;-1753.2851966723413;1754.1379679651457
1216.0;-0.015457641118164446;54.60481171301893;-1750.1003089406672;1750.9519630236668
1218.0;-0.015491102546789981;54.52500928033675;-1746.9280309786395;1747.7787394449929
1220.0;-0.015526061395389852;54.450757311472756;-1743.7683238103486;1744.6182539730994
1222.0;-0.01556249371134904;54.381915724807925;-1740.6211472531909;1741.470462288383
1224.0;-0.015600375951993348;54.31834764345531;-1737.486459988644;1738.335319072412
1226.0;-0.015639684975330477;54.259919317053786;-1734.3642196298335;1735.2127780697372
1228.0;-0.015680398030958692;54.20650004547701;-1731.254382786069;1732.1027921469192
1230.0;-0.015722492751246365;54.15796210446253;-1728.1569051244926;1729.0053133489132
1232.0;-0.015765947142679884;54.11418067306353;-1725.0717414289331;1725.920292952884
1234.0;-0.015810739577449502;54.075033762962626;-1721.9988456561114;1722.8476815195957
1236.0;-0.015856848785220843;54.040402149500785;-1718.938170989316;1719.7874289424767
1238.0;-0.01590425384512199;54.010169304481494;-1715.889669889648;1716.7394844944602
1240.0;-0.015952934177898774;53.984221330634135;-1712.8532941449464;1713.7037968726888
1242.0;-0.016002869538272027;53.962446897731844;-1709.8289949165085;1710.6803142412052
1244.0;-0.016054040007495742;53.944737180333;-1706.8167227836748;1707.6689842716764
1246.0;-0.016106425986052435;53.930985797067784;-1703.8164277864005;1704.669754182274
1248.0;-0.01616000818656284;53.92108875147342;-1700.828059465882;1701.6825707747678
1250.0;-0.016214767626841414;53.91494437431239;-1697.8515669033345;1698.7073804699246
1252.0;-0.016270685623126474;53.91245326736023;-1694.8868987569938;1695.7441293412771
1254.0;-0.016327743783463834;53.91351824858892;-1691.9340032974246;1692.7927631473353
1256.0;-0.016385924001265005;53.91804429876306;-1688.9928284412106;1689.8532273623186
1258.0;-0.01644520844899269;53.92593850936201;-1686.0633217830805;1686.9254672054458
1260.0;-0.01650557957201794;53.9371100318365;-1683.1454306265741;1684.0094276688899
1262.0;-0.016567020082605487;53.95147002812859;-1680.239102013263;1681.1050535444037
1264.0;-0.01662951295406971;53.96893162245706;-1677.344282750631;1678.2122894487152
1266.0;-0.016693041415009463;53.98940985430713;-1674.4609194386483;1675.3310798477235
1268.0;-0.016757588943742442;54.01282163261362;-1671.588958495102;1672.4613690795538
1270.0;-0.01682313926284351;54.03908569110025;-1668.7283461797485;1669.6031013765303
1272.0;-0.016889676333787837;54.068122544732816;-1665.8790286173028;1666.756220886078
1274.0;-0.01695718435177133;54.099854447288614;-1663.0409518193683;1663.9206716906572
1276.0;-0.017025647740577927;54.13420534996885;-1660.2140617053078;1661.096397826721
1278.0;-0.017095051147650187;54.17110086108059;-1657.3983041221215;1658.2833433027618
1280.0;-0.017165379439194148;54.21046820669345;-1654.5936248633614;1655.4814521164733
1282.0;-0.017236617695455574;54.252236192328006;-1651.79996968716;1652.6906682710985
1284.0;-0.01730875120607098;54.296335165562304;-1649.01728433334;1649.9109357909338
1286.0;-0.01738176546553596;54.34269697959542;-1646.2455145397419;1647.1421987361127
1288.0;-0.01745564616877914;54.391254957734525;-1643.4846060576995;1644.38440121661
1290.0;-0.01753037920683116;54.441943858729815;-1640.7345046667856;1641.6374874055718
1292.0;-0.017605950662583816;54.49469984301584;-1637.9951561888063;1638.901401551958
1294.0;-0.017682346806669375;54.54946043975143;-1635.266506501101;1636.1760879925434
1296.0;-0.017759554093400937;54.60616451473196;-1632.5485015491643;1633.4614911633
1298.0;-0.01783755915683394;54.66475223903876;-1629.8410873586304;1630.757555610189
1300.0;-0.0179163488068849;54.72516505850584;-1627.1442100466413;1628.064225999389
1302.0;-0.017995910025565377;54.7873456639355;-1624.4578158326208;1625.381447126978
1304.0;-0.018076229963272197;54.85123796202988;-1621.781851048492;1622.7091639281023
1306.0;-0.018157295935186182;54.916787047062165;-1619.1162621483486;1620.047321485645
1308.0;-0.018239095417710627;54.98393917323358;-1616.4609957176117;1617.39586503842
1310.0;-0.018321616045050143;55.05264172771821;-1613.8159984816991;1614.75473998892
1312.0;-0.018404845605792575;55.12284320434681;-1611.1812173142034;1612.1238919106092
1314.0;-0.018488772039605132;55.19449317796304;-1608.556599244635;1609.5032665548204
1316.0;-0.018573383434006982;55.26754227939293;-1605.9420914657298;1606.8928098572496
1318.0;-0.018658668021190407;55.34194217101774;-1603.3376413403282;1604.2924679440553
1320.0;-0.01874461417490581;55.4176455229527;-1600.743196407868;1601.7021871376046
1322.0;-0.018831210407447403;55.49460598980072;-1598.1587043904976;1599.1219139618709
1324.0;-0.018918445366653554;55.57277818796445;-1595.5841131988198;1596.5515951474893
1326.0;-0.019006307833020274;55.652117673515576;-1593.019370937292;1593.9911776364988
1328.0;-0.019094786716839972;55.73258092058965;-1590.46442590929;1591.4406085867727
1330.0;-0.019183871055394486;55.814125300303616;-1587.9192266218554;1588.8998353761604
1332.0;-0.019273550010252515;55.89670906018925;-1585.3837217901357;1586.3688056063452
1334.0;-0.019363812864574018;55.9802913040988;-1582.8578603415338;1583.8474671064353
1336.0;-0.01945464902048612;56.0648319726155;-1580.3415914195812;1581.3357679363014
1338.0;-0.01954604799651912;56.15029182391309;-1577.8348643875327;1578.8336563896573
1340.0;-0.01963799942508407;56.236632415080315;-1575.337628831724;1576.3410809969228
1342.0;-0.019730493050015244;56.32381608388415;-1572.849834564668;1573.8579905278477
1344.0;-0.01982351872414552;56.41180593096785;-1570.3714316279195;1571.3843339939197
1346.0;-0.019917066406934962;56.50056580247403;-1567.9023702947288;1568.9200606505826
1348.0;-0.020011126162161396;56.59006027306611;-1565.442601072468;1566.4651199992431
1350.0;-0.020105688155625447;56.68025462936132;-1562.9920747048561;1564.0194617890918
1352.0;-0.02020074265293112;56.77111485374149;-1560.550742173989;1561.5830360187463
1354.0;-0.020296280017291495;56.86260760855565;-1558.1185547021894;1559.155792937731
1356.0;-0.020392290707379933;56.954700220677175;-1555.6954637536583;1556.7376830477695
1358.0;-0.02048876527522772;57.04736066643364;-1553.28142103598;1554.328657103947
1360.0;-0.020585694364165248;57.140557556875045;-1550.876378501444;1551.9286661157025
1362.0;-0.020683068706770936;57.23426012339657;-1548.4802883482246;1549.5376613476917
1364.0;-0.020780879122910156;57.328438203675944;-1546.093103021398;1547.1555943204964
1366.0;-0.02087911651777119;57.42306222795362;-1543.7147752138274;1544.7824168112197
1368.0;-0.020977771879941924;57.51810320562031;-1541.3452578669094;1542.4180808539497
1370.0;-0.021076836279546436;57.61353271210389;-1538.9845041711817;1540.062538740095
1372.0;-0.021176300866383516;57.70932287606851;-1536.6324675668202;1537.7157430186205
1374.0;-0.02127615686812329;57.80544636690377;-1534.2891017440102;1535.3776464961702
1376.0;-0.021376395588519285;57.90187638248942;-1531.9543606431937;1533.048202237069
1378.0;-0.02147700840566785;57.99858663724814;-1529.6281984552309;1530.727363563255
1380.0;-0.02157798677027732;58.09555135046213;-1527.3105696214404;1528.415084054094
1382.0;-0.02167932220400677;58.19274523485371;-1525.0014288335465;1526.111317546111
1384.0;-0.021781006297768978;58.29014348542621;-1522.7007310335293;1523.8160181326343
1386.0;-0.02188303071013884;58.38772176855164;-1520.4084314133952;1521.5291401633629
1388.0;-0.021985387165718247;58.485456211299145;-1518.1244854148451;1519.2506382438457
1390.0;-0.022088067453593756;58.58332339101609;-1515.8488487288716;1516.9804672348891
1392.0;-0.022191063425750817;58.68130032511591;-1513.5814772952826;1514.7185822519036
1394.0;-0.022294366995593354;58.77936446111776;-1511.322327302137;1512.4649386641665
1396.0;-0.02239797013641499;58.8774936668881;-1509.0713551851177;1510.2194920940274
1398.0;-0.022501864879922506;58.975666221105385;-1506.8285176268346;1507.9821984160515
1400.0;-0.022606043314822143;59.07386080393435;-1504.5937715560722;1505.7530137561102
1402.0;-0.02271049758535079;59.172056487898494;-1502.3670741469555;1503.5318944903997
1404.0;-0.0228152198899038;59.270232728957126;-1500.1483828180778;1501.3187972444223
